Date;Allianz SE;BASF AG;Bayer AG;Beiersdorf AG;BMW AG;Commerzbank AG;Daimler AG;Deutsche Bank AG;Deutsche Lufthansa AG;E.ON SE;HeidelbergCement AG,;Henkel KGaA Pfd.;K+S AG;Linde AG;MAN AG;Muenchener Rueckversicherungs-Gesellschaft AG;RWE AG;Siemens AG;ThyssenKrupp AG;Volkswagen AG Pfd.;Germany, Equity Indices, DAX, Total Return, Close, EUR
01.07.2003;95;21.23;19.95;35.75;34.46;80.62;32.09;52.79;11.07;14.69;24.09;18.65;4.07;36.13;17.79;96.16;25.2;48.74;11.52;26.71;3487.86
01.08.2003;81.21;20.97;18.32;38.57;35.99;76.3;34.69;48.03;12.14;15.04;30.24;19.31;4.23;36.4;19.9;88.64;24.53;54.65;12.27;30.3;3484.58
01.09.2003;75.8;18.85;17.46;36.58;32.45;75.04;30.14;47.68;11.01;13.38;28.44;19.58;4.41;33.77;18.24;81.14;22.84;49.56;11.45;26.64;3256.78
01.10.2003;92.22;19.73;19.45;32.34;34.45;101.89;32.09;51.77;13.15;13.88;33.18;21.09;4.66;37.68;23.73;102.59;23.9;56.2;14.26;29.29;3655.99
01.11.2003;93.88;20.63;21.21;31.2;36.73;96.74;31.78;53.07;12.43;15.1;30.83;20.64;4.62;38.54;22.55;94.83;26.9;58.98;15.36;27.44;3745.95
01.12.2003;100.08;22.29;21.85;32.07;36.75;93.2;37;59.95;12.92;16.52;30.25;20.67;5.16;40.78;23.93;96.12;31.37;61.53;15.57;28.75;3965.16
01.01.2004;102.95;22.2;22.94;31.23;35.19;92.96;38.25;57.39;14.09;16.43;31.83;21.82;5.48;43.16;27.2;95.31;32.42;62.98;16.16;27.43;4058.6
01.02.2004;100.26;21.4;21.46;29.47;34.38;93.68;36.15;62.96;14.04;17.37;32.5;22.66;6.24;40.39;28.03;93.85;35.54;60.13;15.5;25.71;4018.16
01.03.2004;88.61;20.67;18.64;28.87;33.09;82.71;33.98;61.73;12.93;17.11;33.18;22.44;6.15;41.15;28.86;90.37;36.53;58.21;15.03;24.05;3856.7
01.04.2004;88.51;21.52;21.39;30.35;35.97;86.19;37.39;62.73;13.06;17.65;33.98;24.09;6.6;43.57;30.49;90.21;36.21;58.38;14.39;25.01;3985.21
01.05.2004;85.83;21.07;22.02;31.05;34.9;80.44;36.66;59.14;11.31;18.18;32.27;22.9;6.21;40.82;30.01;83.94;36.18;56.25;13.61;24.1;3921.41
01.06.2004;89.03;22;22.3;32.02;36.37;86.79;38.4;58.93;11.18;18.93;36.97;23.39;6.61;43.21;29.84;89.1;38.65;57.28;13.92;23.76;4052.73
01.07.2004;80.3;22.14;20.87;32.2;36.92;85.35;37.11;52.7;9.81;18.88;34;20.32;7.29;43.07;30.68;79.78;40.7;56.5;14.73;23.13;3895.61
01.08.2004;79.19;22.21;19.73;26.63;33.89;80.91;34.14;51;9.57;18.61;32.67;19.87;7.73;42.05;27.71;77.73;40.25;54.49;15.19;21.8;3785.21
01.09.2004;81.09;23.73;20.72;25.46;33.1;89.73;33.2;52.81;9.37;18.96;33.81;19.72;8.21;44.31;27.4;77.56;38.48;57.38;15.59;21.91;3892.9
01.10.2004;83.38;24.45;20.9;24.81;33.15;85.89;32.38;54.37;10.33;20.36;34.83;19.56;7.74;45.22;26.97;76.68;41.52;56.54;14.61;25.18;3960.25
01.11.2004;94.01;25.32;22.43;26.97;31.78;89.97;33.65;58.17;10.62;20.22;38.69;21.23;8.99;43.88;28.36;85.35;39.99;58.38;16.1;24.64;4126
